id,language_iso639_code,translation
1,en,Physics
1,ja,物理学
1,vi,Vật lý
2,en,Chemistry
2,ja,化学
2,vi,Hóa học
3,en,Biology and Biochemistry
3,ja,生物学・生化学
3,vi,Sinh học và Hóa sinh
4,en,Geology
4,ja,地学
4,vi,Địa chất
5,en,Astronomy
5,ja,宇宙学
5,vi,Thiên văn học
6,en,Other Sciences
6,ja,その他理学・サイエンス系
6,vi,Các khoa học khác
7,en,Computer Science
7,ja,コンピュータサイエンス
7,vi,Khoa học máy tính
8,en,Data Science
8,ja,データサイエンス
8,vi,Khoa học dữ liệu
9,en,Cybersecurity
9,ja,サイバーセキュリティ
9,vi,An ninh mạng
10,en,AI and Machine Learning
10,ja,AI・機械学習・ディープラーニング
10,vi,Trí tuệ nhân tạo và Học máy
11,en,Software and Systems Engineering
11,ja,ソフトウェア・システムエンジニアリング
11,vi,Kỹ thuật phần mềm và hệ thống
12,en,Other Computing
12,ja,その他 テクノロジー系
12,vi,Các ngành máy tính khác
13,en,Mechanical Engineering
13,ja,機械工学
13,vi,Kỹ thuật cơ khí
14,en,Electrical and Electronics Engineering
14,ja,電気・電子工学
14,vi,Kỹ thuật điện và điện tử
15,en,Nuclear Engineering
15,ja,原子力工学
15,vi,Kỹ thuật hạt nhân
16,en,Civil Engineering
16,ja,土木工学
16,vi,Kỹ thuật xây dựng
17,en,Biological Engineering
17,ja,生物工学
17,vi,Kỹ thuật sinh học
18,en,Resource Engineering
18,ja,資源工学
18,vi,Kỹ thuật tài nguyên
19,en,Materials Engineering
19,ja,材料工学
19,vi,Kỹ thuật vật liệu
20,en,Aeronautical and Aerospace Engineering
20,ja,航空・宇宙工学
20,vi,Kỹ thuật hàng không và không gian
21,en,Industrial Engineering
21,ja,経営工学・管理工学
21,vi,Kỹ thuật công nghiệp
22,en,Naval and Ocean Engineering
22,ja,船舶・海洋工学・商船学
22,vi,Kỹ thuật hàng hải và đại dương
23,en,Biomedical Engineering
23,ja,医用・生体工学
23,vi,Kỹ thuật y sinh
24,en,Other Engineering
24,ja,その他 工学・エンジニアリング系
24,vi,Các ngành kỹ thuật khác
25,en,Mathematics
25,ja,数学
25,vi,Toán học
26,en,Statistics
26,ja,統計学
26,vi,Thống kê
27,en,Actuarial Science
27,ja,保険数理学
27,vi,Khoa học tính toán
28,en,Operations Research
28,ja,オペレーションズ・リサーチ
28,vi,Nghiên cứu hoạt động
29,en,Other Mathematics
29,ja,その他 数学
29,vi,Các ngành toán học khác
30,en,Medical and Health Sciences
30,ja,医療・保健学
30,vi,Khoa học y tế và sức khỏe
31,en,Pharmacy
