id,language_iso639_code,translation
1,en,national
2,en,Perth
2,ja,パース
3,en,London
3,ja,ロンドン
4,en,Manchester
4,ja,マンチェスター
5,en,Newcastle
5,ja,ニューカッスル
6,en,Belfast
6,ja,ベルファスト
7,en,Norwich
7,ja,ノリッジ
8,en,Exeter
8,ja,エクセター
9,en,Stirling
9,ja,スターリング
10,en,Madison
10,ja,マディソン
11,en,Fairfax
11,ja,フェアファックス
12,en,Hempstead
12,ja,ヘンプステッド
13,en,Normal
13,ja,ノーマル
14,en,Corvallis
14,ja,コーバリス
15,en,St. Louis
15,ja,セントルイス
16,en,Boston
16,ja,ボストン
17,en,Birmingham
17,ja,バーミンガム
18,en,Adelaide
18,ja,アデレード
19,en,Bristol
19,ja,ブリストル
20,en,Glasgow
20,ja,グラスゴー
21,en,Liverpool
21,ja,リバプール
22,en,Nottingham
22,ja,ノッティンガム
23,en,York
23,ja,ヨーク
24,en,Tempe
24,ja,テンピ
25,en,Sydney
25,ja,シドニー
26,en,Burnaby
26,ja,バーナビー
27,en,Winnipeg
27,ja,ウィニペグ
28,en,Dundee
28,ja,ダンディー
29,en,San Francisco
29,ja,サンフランシスコ
30,en,Miami
30,ja,マイアミ
31,en,Spokane
31,ja,スポケーン
32,en,Chicago
32,ja,シカゴ
33,en,Columbia
33,ja,コロンビア
34,en,Salt Lake City
34,ja,ソルトレイクシティ
35,en,Sheffield
35,ja,シェフィールド
36,en,Leeds
36,ja,リーズ
37,en,Cardiff
37,ja,カーディフ
38,en,Durham
38,ja,ダーラム
39,en,Guildford
39,ja,ギルフォード
40,en,Dublin
40,ja,ダブリン
41,en,Auckland
41,ja,オークランド
42,en,Lancaster
42,ja,ランカスター
43,en,The Hague
43,ja,ハーグ
44,en,Enschede
44,ja,エンスヘデ
45,en,Nilai
45,ja,ニライ
46,en,New York City
46,ja,ニューヨーク市
47,en,Leipzig
47,ja,ライプツィヒ
48,en,Coventry
48,ja,コヴェントリー
49,en,Hatfield
49,ja,ハットフィールド
50,en,Melbourne
50,ja,メルボルン
51,en,Brighton
51,ja,ブライトン
52,en,Egham
52,ja,エガム
53,en,Bellingham
53,ja,ベリンガム
54,en,Harrisonburg
54,ja,ハリソンバーグ
55,en,San Marcos
55,ja,サンマルコス
