id,language_iso639_code,translation
1,en,Russel Group
1,ja,ラッセルグループ
2,en,Group of 8
2,ja,グループ８
3,en,US Top 250
3,ja,アメリカトップ２５０
4,en,U15
4,ja,Ｕ１５
5,en,"The Russell Group is a consortium of prestigious universities in the UK, including Oxford and Cambridge. It is also known as the UK's version of the Ivy League."
5,ja,ラッセル・グループ は、 オックスフォード大学やケンブリッジ大学などイギリスの名門大学で構成された団体名。英国版アイビーリーグとも呼ばれる
5,vi,"Nhóm Russell là một liên đoàn của các trường đại học danh tiếng ở Anh, bao gồm Đại học Oxford và Đại học Cambridge. Nó còn được gọi là phiên bản Ivy League của Anh."
6,en,The Group of Eight is a collective term for the eight major universities in Australia. It is often referred to as Australia's version of the Ivy League.
6,ja,グループ8は、オーストラリアの主要な8大学で構成された名門大学群の総称。オーストラリア版アイビーリーグとも呼ばれる
6,vi,Nhóm Tám là một thuật ngữ chung để chỉ tám trường đại học hàng đầu ở Úc. Nó thường được gọi là phiên bản Ivy League của Úc.
7,en,"A university ranking that American students refer to when applying to colleges. It is analyzed from various perspectives, such as graduation rate, class size, student-to-faculty ratio, and the percentage of professors with doctoral degrees."
7,ja,アメリカ人学生が大学出願の際に参考にする大学ランキング。卒業率、1クラスの学生数、教授と学生の比率、教授の博士号取得率などさまざまな角度から分析されている
7,vi,"Một bảng xếp hạng các trường đại học mà sinh viên Mỹ tham khảo khi nộp đơn vào các trường đại học. Nó được phân tích từ nhiều góc độ khác nhau như tỷ lệ tốt nghiệp, quy mô lớp học, tỷ lệ sinh viên trên giảng viên và tỷ lệ giảng viên có bằng tiến sĩ."
8,en,U15 is an association of Canada's top 15 research-intensive universities.
8,ja,U15は、カナダのトップクラスの15大学で構成された主要研究型大学の団体名
8,vi,Nhóm U15 là một liên đoàn của 15 trường đại học nghiên cứu hàng đầu của Canada.
